100, C0 //LD 5020
101, 00
102, 50
103, 20
104, C5 //SUB #AAAA
105, C0
106, AA
107, AA
108, C8 //XOR (5022)
109, 40
10A, 50
10B, 22
10C, 82 //ASR
10D, C1 //STORE 5032
10E, 00
10F, 50
110, 32
111, 0B //BNNG 20
112, 20
113, FF //HALT
133, C0 //LOAD (PC)50
134, 80
135, 50
136, 41 //JSR 6000
137, 60
138, 00 
139, C0 //LOAD #1234
13A, C0
13B, 12
13C, 34
13D, FF //HALT
186, AB //vrednost za pcrel
187, CD
1000, FF
1001, FF
1002, FF
5020, AA
5021, BB
5022, 50
5023, 30
5030, 11
5031, 1B
6000, C1 //potprogram, STORE 6050
6001, 00
6002, 60
6003, 50
6004, 80 //RTS
